d1 d2 d3
3.13720012 4.23600006 4.99200010
3.11159992 4.08319998 4.97119999
3.11640000 4.17199993 4.85760021
3.11919999 4.20480013 5.00000000
3.13840008 4.20959997 4.95039988
3.15199995 4.21920013 4.85599995
3.14520001 4.23199987 4.98239994
3.15120006 4.24560022 4.99679995
3.15720010 4.20319986 4.89440012
3.14080000 4.21999979 4.89919996
3.12800002 4.17040014 4.95200014
3.14879990 4.16239977 4.85279989
3.13560009 4.18319988 4.89120007
3.11800003 4.14960003 4.94239998
3.12520003 4.16480017 5.11840010
3.16599989 4.19600010 4.85279989
3.15759993 4.19759989 4.88959980
3.12199998 4.19439983 4.98080015
3.15960002 4.21360016 4.91680002
3.13159990 4.18559980 4.98719978
3.15440011 4.12480021 4.98880005
3.15000010 4.07040024 4.95359993
3.13240004 4.23600006 4.97440004
3.13960004 4.17519999 5.01280022
3.14520001 4.17600012 4.93599987
3.13240004 4.21439981 4.85440016
3.12960005 4.17040014 4.90560007
3.15319991 4.16160011 4.99840021
3.14639997 4.22879982 4.97919989
3.13439989 4.18240023 4.90719986
3.15240002 4.15520000 5.04160023
3.12960005 4.16400003 5.01919985
3.13400006 4.21920013 4.85440016
3.13840008 4.23040009 4.91520023
3.14359999 4.23999977 5.02880001
3.13479996 4.18800020 4.92799997
3.13840008 4.17759991 4.98400021
3.13280010 4.21759987 4.91359997
3.16560006 4.18720007 5.00320005
3.13599992 4.16079998 4.88000011
3.14479995 4.23040009 4.84800005
3.12560010 4.20480013 4.91680002
3.14479995 4.14480019 5.00479984
3.13319993 4.12080002 4.94399977
3.12759995 4.18720007 4.97599983
3.13039994 4.29120016 5.03999996
3.11279988 4.25759983 4.78560019
3.13159990 4.18480015 5.09600019
3.14560008 4.13119984 4.81120014
3.11479998 4.21280003 4.91359997
3.13560009 4.14639997 4.97760010
3.14599991 4.18879986 4.92320013
3.13159990 4.14799976 4.77440023
3.14599991 4.13600016 4.99840021
3.13400006 4.18800020 4.91839981
3.10520005 4.21040010 4.78560019
3.13560009 4.19439983 4.91039991
3.15079999 4.23999977 4.99359989
3.13000011 4.23280001 4.97760010
3.10800004 4.19439983 4.93919992
3.14159989 4.25759983 5.01919985
3.11599994 4.14480019 5.02400017
3.16199994 4.18079996 4.98719978
3.16960001 4.24240017 4.94560003
3.13639998 4.25439978 4.89279985
3.13080001 4.23360014 4.98880005
3.14400005 4.17759991 4.89599991
3.12719989 4.16400003 5.12960005
3.11560011 4.22480011 4.97119999
3.16960001 4.14080000 4.99359989
3.13599992 4.17999983 4.99200010
3.14840007 4.19680023 4.82399988
3.13840008 4.22879982 4.97599983
3.12400007 4.15920019 4.88640022
3.10479999 4.18400002 4.90560007
3.14560008 4.23680019 4.92640018
3.14280009 4.15600014 4.96799994
3.16759992 4.11840010 4.85440016
3.17000008 4.19759989 5.02720022
3.13199997 4.23680019 4.95200014
3.16639996 4.15040016 4.83839989
3.16079998 4.28319979 4.85599995
3.11680007 4.25199986 4.90560007
