            N  h                       Regra do Trapezio      Regra de Simpson          Regra de Boole
          12   0.08333333333333333     0.0041571359729468     0.0000187593023729        0.0000004800312709            
          24   0.04166666666666666     0.0010384097928567     0.0000011656005067        0.0000000073129510              
          48   0.02083333333333333     0.0002595478905307     0.0000000727435781        0.0000000001135505               
          96   0.01041666666666666     0.0000648835640231     0.0000000045448130        0.0000000000017713                 
         192   0.00520833333333333     0.0000162206779871     0.0000000002840249        0.0000000000000277                   
         384   0.00260416666666666     0.0000040551561835     0.0000000000177518        0.0000000000000004                     
         768   0.00130208333333333     0.0000010137882134     0.0000000000011098        0.0000000000000001                     
        1536   0.00065104166666666     0.0000002534470014     0.0000000000000691        0.0000000000000008                     
        3072   0.00032552083333333     0.0000000633617467     0.0000000000000049        0.0000000000000003                     
        6144   0.00016276041666666     0.0000000158404362     0.0000000000000004        0.0000000000000007                     
 Valores exatos
                             0.722452884092878111    0.722452884092878111              0.722452884092878111
